ID du Bilan GES,Type de structure,Type de collectivité,Raison sociale / Nom de l'entité,Année de reporting,Date de publication,Mode de consolidation,Descriptif sommaire de l'activité,SIREN,Libellé,Région,Ville,Emissions publication P1 - tCO2e,Emissions publication P2 - tCO2e,Emissions publication P3 - tCO2e,Emissions publication P4 - tCO2e,Emissions publication P5 - tCO2e,Emissions publication P6 - tCO2e,Emissions publication P7 - tCO2e,Emissions publication P8 - tCO2e,Emissions publication P9 - tCO2e,Emissions publication P10 - tCO2e,Emissions publication P11 - tCO2e,Emissions publication P12 - tCO2e,Emissions publication P13 - tCO2e,Emissions publication P14 - tCO2e,Emissions publication P15 - tCO2e,Emissions publication P16 - tCO2e,Emissions publication P17 - tCO2e,Emissions publication P18 - tCO2e,Emissions publication P19 - tCO2e,Emissions publication P20 - tCO2e,Emissions publication P21 - tCO2e,Emissions publication P22 - tCO2e,Emissions publication P23 - tCO2e
13,Etablissement public,,CENTRE HOSPITALIER DE NONTRON,1/1/2018,3/9/2015,Opérationnel,Le Centre Hospitalier de Nontron assure ses fonctions d'Hôpital de proximité (lien de l'interface entre la médecine libérale et l'offre de soins structurelle). ,262405871.0,Activités hospitalières,,NONTRON,359.0,109.0,414.0,,,36.00,,98.00,,,,,,,,,,,,,,,
14,Entreprise,,NICOLLIN SAS,1/1/2011,3/10/2015,Opérationnel,"La société NICOLLIN SAS fait partie du Groupe NICOLLIN (NICOLLIN HOLDING ? Société_x000D_
Anonyme à directoire et conseil de surveillance)._x000D_
Les activités sont principalement tournées vers la gestion des déchets (collecte et tri), le_x000D_
nettoiement urbain et le stockage de déchets.",775644149.0,Collecte des déchets non dangereux,,Saint Fons,6344.07,11960.31,1.02,,9743.88,313.90,,,,,,,,,,,,,,,,,
15,Etablissement public,,CENTRE HOSPITALIER DE ROUFFACH,1/1/2011,3/10/2015,Opérationnel,"Le Centre Hospitalier de Rouffach est un établissement public départemental de santé qui_x000D_
oeuvre dans trois domaines : la psychiatrie, le médico-social et la prise en charge des_x000D_
personnes âgées.",266800192.0,Activités hospitalières,,ROUFFACH,2480.0,203.0,92.0,,,254.00,,579.00,,,,,,,,,,,,,,,
16,Entreprise,,Société Méditerranéenne de Nettoiement,1/1/2011,3/10/2015,Opérationnel,"La SOCIETE MEDITERRANEENNE DE NETTOIEMENT fait partie du Groupe NICOLLIN_x000D_
(NICOLLIN HOLDING ? Société Anonyme à directoire et conseil de surveillance)._x000D_
Les activités sont principalement tournées vers la gestion des déchets (collecte et tri) et le_x000D_
nettoiement urbain._x000D_
",326180544.0,Collecte des déchets non dangereux,,Montpellier,31.67,9642.2,0.58,,,173.16,,,,,,,,,,,,,,,,,
17,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Valenciennes Métropole,1/1/2011,3/9/2015,,,,,Hauts de France,,915.0,1346.0,,,,424.00,,645.00,520.00,6481.00,,,26.00,,,830.00,3.00,,,,,129.0,
18,Collectivité territoriale (dont EPCI),Régions,Conseil Régional Auvergne,1/1/2011,3/9/2015,,,,,Auvergne-Rhône-Alpes,,15663.0,25311.0,,825.0,,2792.00,,10046.00,13560.00,25373.00,2507.00,,208.00,3.00,,3450.00,,50.00,,,,19774.0,4555.0
19,Collectivité territoriale (dont EPCI),Départements,Conseil Général de l'Allier,1/1/2011,3/9/2015,,,,,Auvergne-Rhône-Alpes,,4705.76,2322.0,,,,787.00,,853.04,5706.17,13865.00,,5.61,,,,,11.34,,,,,10419.0,
20,Collectivité territoriale (dont EPCI),Départements,Conseil Départemental de Saône et Loire,1/1/2013,3/9/2015,,,,,Bourgogne-Franche-Comté,,6079.0,12779.0,,,,798.00,2480.00,,13043.00,4431.00,187.00,1193.00,896.00,,,2263.00,,,,,,10642.0,
23,Collectivité territoriale (dont EPCI),Départements,Conseil départemental de la Somme,1/1/2013,3/10/2015,,,,,Hauts de France,,8378.0,2786.0,0.0,0.0,0.0,902.00,231.00,2621.00,4768.00,15111.00,902.00,0.00,5259.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,535.0,11339.0
24,Etablissement public,,Centre Hospitalier de Ainay-le-Château,1/1/2011,3/10/2015,Opérationnel,Établissement public de santé,260304936.0,Activités hospitalières,,Ainay le chÃ¢teau,352.0,124.0,,,72.0,52.00,,260.00,,,,,,,,,,,,,,,
25,Entreprise,,Coop Atlantique,1/1/2011,3/10/2015,Opérationnel,"Entreprise de la grande distribution, propriétaire de ses magasins. COOP_x000D_
ATLANTIQUE a réalisé en 2011 un chiffre d'affaire de 907 millions d'euros, et possédait un capital de 24 millions_x000D_
d'euros. Elle emploie actuellement près de 4300 personnes et ses magasins sont répartis sur 14 départements, entre_x000D_
Loire et Garonne. Elle assure l'approvisionnement de ces magasins grâce à trois entrepôts, situés à Saintes,_x000D_
Ingrandes et Condat. Le siège social se situe à Saintes.",525580130.0,Supermarchés,,Saintes,1517.0,16203.0,759.0,270.0,166.0,538.00,,,,,,,205.00,,,,,,,,,,
27,Etablissement public,,Centre Hospitalier Départemental « La Candelie »,1/1/2016,3/10/2015,Opérationnel,"Etablissement public de santé, à vocation essentiellement psychiatrique",264702689.0,Activités hospitalières,,AGEN,1534.8,365.9,,70.1,,124.50,,,,,,,,,,,,,,,,,
29,Entreprise,,Nice Matin,1/1/2012,3/12/2015,Opérationnel,Presse Régionale Quotidienne,955801204.0,Édition de journaux,,Nice,303.0,421.0,,13.0,,579.00,,311.00,,,,,24796.00,,,,,,,,,,
30,Etablissement public,,Centre hospitalier Nord Deux Sèvres,1/1/2011,3/10/2015,Opérationnel,Activités hospitalières,267901213.0,Activités hospitalières,,PARTHENAY,2724.3,292.02,,79.0,,393.00,,,,,,,,,,,,,,,,,
31,Entreprise,,MAAF Assurances SA,1/1/2012,3/10/2015,Opérationnel,Commercialisation de contrats d'assurances non vie.,781423280.0,Autres assurances,,CHAURAY,360.0,,,,,1306.00,,,156.00,137.00,60.00,51.00,1238.00,,,,259.00,,,,,3372.0,82.0
32,Entreprise,,GIE EUROPAC,1/1/2012,3/12/2015,Opérationnel,"Groupement d'intérêt économique délivrant des prestations de services administratifs liés_x000D_
à l'assurance pour le compte des sociétés d'assurances non vie du Groupe MAAF_x000D_
(évaluation des demandes d'indemnisation, liquidation de sinistres, règlement des_x000D_
demandes d'indemnisation, ...).",389272295.0,Autres activités de soutien aux entreprises n.c.a.,,CHAURAY,,,,,,177.00,,,391.00,182.00,39.00,62.00,2106.00,,,,64.00,,,,,1797.0,20.0
33,Collectivité territoriale (dont EPCI),Départements,Conseil Général des Deux Sèvres,1/1/2011,3/10/2015,,,,,Nouvelle-Aquitaine,,4311.0,7804.0,,,,698.00,34.00,2819.00,13396.00,5377.00,70.00,,244.00,,,,208.00,,,,,3540.0,
34,Collectivité territoriale (dont EPCI),Communes,VILLE D'AVIGNON,1/1/2012,3/11/2015,,,,,Provence-Alpes-Côte d'Azur,,4943.0,863.0,,589.0,,2104.00,,1148.00,,,,,,,,,,,,,,,1158.0
35,Etablissement public,,Centre Hospitalier Laborit,1/1/2011,3/12/2015,Opérationnel,"Établissement spécialisé en santé mentale_x000D_
couvrant l'ensemble du département de la Vienne.",268600020.0,Activités hospitalières,,poitiers,1831.0,,,,,80.00,,,493.00,,,,,,,,,,,,,,
36,Entreprise,,TIPIAK TRAITEUR PATISSIER,1/1/2011,3/12/2015,Opérationnel,Fabrication de produits de cocktail salés et sucrés,388238842.0,Fabrication industrielle de pain et de pâtisserie fraîche,,MALVILLE,715.0,116.0,,1310.0,,474.00,,302.00,,,,,,,,,,,,,,,
37,Entreprise,,Crédit Agricole Charente Périgord,1/1/2011,3/13/2015,Opérationnel,Activités Bancaires,775569726.0,Autres intermédiations monétaires,,BERGERAC,1431.18,163.01,,212.0,,446.00,,467.00,2531.00,1726.00,5.00,,742.00,,,,494.00,,,,,1910.0,
38,Collectivité territoriale (dont EPCI),Régions,Conseil Général de la Manche,1/1/2011,3/13/2015,,,,,Normandie,,9410.3,2427.9,0.0,0.0,0.0,1209.80,1309.40,,,,,,,,,,,,,,,,
39,Collectivité territoriale (dont EPCI),Communes,Perpignan,1/1/2013,3/18/2015,,,,,Occitanie,,4351.0,688.0,,,,1119.00,,1266.00,3903.00,2033.00,,,28.00,,,9196.00,,,,,,4256.0,
41,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Chambéry Métropole,1/1/2013,3/16/2015,,,,,Auvergne-Rhône-Alpes,,1296.0,4672.0,,,,494.00,,,,,,,,,,,,,,,,325.0,
42,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Rambouillet Territoires,1/1/2012,3/16/2015,,,,,Île-de-France,,544.0,13.0,,,,,69.00,124.00,417.00,98.00,82.00,33.00,43.00,,,,,,,,,118.0,
43,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Cités en Champagne,1/1/2012,3/16/2015,,,,,Grand Est,,931.0,1696.0,,1.0,,235.00,,681.00,449.00,580.00,527.00,211.00,1.00,,,453.00,145.00,,-270.00,,,333.0,1259.0
44,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Clermont Communauté,1/1/2011,3/16/2015,,,,,Auvergne-Rhône-Alpes,,16418.0,683.0,335.0,602.0,,1089.00,,1097.00,3581.00,1419.00,,,,,,,,,,,,519.0,17.0
45,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Communauté d'Agglomération Seine-Eure,1/1/2011,3/17/2015,,,,,Normandie,,133.93,1678.52,,,,458.26,,423.90,115.45,2325.09,10841.87,,,,,,,,,,,,
46,Entreprise,,AT&MIS,1/1/2013,3/17/2015,Opérationnel," - Infogérance de système d´information_x000D_
 - Maintenance informatique en atelier et sur site_x000D_
 - Distribution de matériels informatique_x000D_
 - Intégration et le déploiement de matériels informatique_x000D_
 - Infrastructure systèmes et réseaux_x000D_
 - Câblage réseau RJ45 et Fibre Optique_x000D_
 - Vente de pièces détachées aux professionnels_x000D_
 - Assistance téléphonique aux utilisateurs_x000D_
",411708605.0,Réparation d'ordinateurs et d'équipements périphériques,,La Chapelle sur Erdre,11.0,,,,,,,,14.00,47.00,6.00,4.00,71.00,,,44.00,9.00,,,,,102.0,
47,Collectivité territoriale (dont EPCI),Départements,Conseil Général de Moselle,1/1/2011,3/17/2015,,,,,Grand Est,,12751.0,10468.0,,,,1618.00,2987.00,5633.00,8982.00,15551.00,7.00,,254.00,,,26349.00,,,,,,4492.0,
48,Collectivité territoriale (dont EPCI),Communes,Antibes,1/1/2011,3/17/2015,,,,,Provence-Alpes-Côte d'Azur,,2257.0,974.0,48.0,,,1841.00,,1198.00,6639.00,1247.00,44.00,6.00,265.00,,,7092.00,,,,,,2685.0,19.0
49,Etablissement public,,SDIS Charente,1/1/2012,3/18/2015,Financier,Service Départemental Incendie et Secours,281600015.0,Services du feu et de secours,,L'ISLE D'ESPAGNAC,704.44,652.35,0.1,,,45.51,,299.02,,,,,,,,,,,,,,,
50,Collectivité territoriale (dont EPCI),Départements,Conseil général de l'Essonne,1/1/2012,3/18/2015,,,,,Île-de-France,,10655.0,1190.0,23.0,,,2498.00,1809.00,2277.00,11894.00,14204.00,1209.00,,785.00,189.00,,15600.00,1.00,,,,,13136.0,
51,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Communauté de l'Auxerrois,1/1/2010,3/19/2015,,,,,Bourgogne-Franche-Comté,,350.0,,,,,,,,50.00,380.00,4200.00,,,,,,1900.00,,,,,320.0,
52,Collectivité territoriale (dont EPCI),Communauté d'agglomération,ViennAgglo,1/1/2009,3/25/2015,,,,,Auvergne-Rhône-Alpes,,1847.0,,15.0,,,,,,834.00,296.00,6161.00,2952.00,653.00,,,,,,,,,,
53,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Tours Plus,1/1/2009,3/25/2015,,,,,Centre-Val de Loire,,2000.0,,,,,,,,2100.00,13100.00,1724.00,1650.00,90.00,,,702.00,,,,,,210.0,
54,Collectivité territoriale (dont EPCI),Départements,Conseil Général de Haute Savoie,1/1/2011,3/25/2015,,,,,Auvergne-Rhône-Alpes,,16700.0,3400.0,,,,,,,38800.00,12400.00,1400.00,,1500.00,,,2400.00,,,,,,8300.0,
55,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Nîmes Metropole,1/1/2011,3/31/2015,,,,,Occitanie,,227.0,7634.0,,163.0,0.0,5629.00,0.00,2034.00,49.00,2022.00,,,4.00,,,,,,,,,289.0,
56,Collectivité territoriale (dont EPCI),Départements,Département de la Gironde,1/1/2011,4/14/2015,,,,,Nouvelle-Aquitaine,,11661.0,29693.0,,19.0,,1705.00,,,104485.00,13725.00,260.00,14342.00,658.00,,1956.00,23594.00,,,,,,16264.0,
70,Collectivité territoriale (dont EPCI),Départements,CONSEIL DEPARTEMENTAL DU NORD,1/1/2011,4/22/2015,,,,,Hauts de France,,34732.0,22247.0,0.0,0.0,0.0,4854.00,0.00,12253.00,20016.00,72304.00,846.00,0.00,1975.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,8081.0
72,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Perpignan Méditerranée Communauté d'Agglomération,1/1/2012,4/23/2015,,,,,Occitanie,,91.0,6912.0,,,,199.00,,1876.00,13157.00,,73747.00,,826.00,,,,4959.00,,,,,1371.0,51.0
76,Association,,Association Régionale Biomasse Normandie,1/1/2014,4/30/2015,Opérationnel,"L'Association a pour objet de conduire des travaux de Recherche-Développement et de mener des actions de promotion, de conseil et d'appui portant sur : la valorisation énergétique et agronomique de la biomasse, les économies d'énergies et l'utilisation des énergies renouvelables, et la gestion des déchets.",383743317.0,Recherche-développement en autres sciences physiques et naturelles,Normandie,Caen,5.74,8.74,0.0,0.0,0.0,0.89,,,2.17,10.21,0.18,0.01,0.47,,,0.76,,,,,,9.29,
77,Entreprise,,BOIRON,1/1/2014,8/31/2016,Opérationnel,"Fabrication, conditionnement et distribution de médicaments homéopathiques",967504697.0,Fabrication de préparations pharmaceutiques,,Messimy,4449.0,1585.0,0.0,262.0,,2358.00,0.00,,,,,,,,,,,,,,,,
81,Entreprise,,La Cordée,1/1/2014,5/13/2015,Opérationnel,"La Cordée est une communauté de travailleurs nomades (freelances, entrepreneurs, télétravailleurs)  qui travaillent quotidiennement ou ponctuellement au sein de plusieurs espaces de travail (coworking), se retrouvent lors de nombreux événements et partagent compétences, contacts et coups de mains._x000D_
 Et c'est bien sûr de la convivialité, des expressos et des jeux de mots venus d'on ne sait où.",535113062.0,Location et location-bail de machines de bureau et de matériel informatique,,Villeurbanne,21.1,,,,,4.60,,,0.70,,2.10,,32.00,,,48.30,,,,,,9.1,
82,Entreprise,,GROUPAMA SUPPORTS ET SERVICES,1/1/2014,5/21/2015,Opérationnel,"GIE  dont les secteurs d'activités sont la logistique, l'informatique et les achats pour l'ensemble du Groupe GROUPAMA",410546956.0,Tierce maintenance de systèmes et d'applications informatiques,,PARIS,534.0,80.0,0.0,0.0,0.0,1203.00,0.00,468.00,432.00,2257.00,0.00,47.00,529.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
83,Collectivité territoriale (dont EPCI),Départements,Département de La Réunion,1/1/2011,5/22/2015,,,,,La Réunion,,54.0,14693.0,0.0,0.0,0.0,30177.00,0.00,4888.00,21243.00,10707.00,1414.00,0.00,2365.00,0.00,0.00,0.00,0.00,-681.00,15923.00,0.00,10031.0,9092.0,0.0
84,Collectivité territoriale (dont EPCI),Communes,Lorient Agglomération,1/1/2014,6/4/2015,,,,,Bretagne,,770.37,9876.82,,6870.4,,2556.42,,2716.63,,,,,10.06,,,,,,,,,,
88,Entreprise,,MMP Packetis S.A.S,1/1/2014,6/11/2015,Opérationnel,"MMP Packetis, leader du Packaging Santé, propose à ses clients une offre globale de produits et services comprenant des étuis, des notices, des systèmes de calage, des étiquettes adhésives et des services SAV/Maintenance dédiés aux clients pliant les notices sur leurs lignes de conditionnement.",403221930.0,Fabrication de cartonnages,,Chazelles,575.02,0.0,0.01,0.04,0.0,578.13,0.00,114.05,35567.13,1152.50,609.44,6739.15,1050.56,0.00,0.00,0.00,0.00,0.00,0.00,3703.84,0.0,0.0,5.63
91,Entreprise,,Menway,1/1/2014,6/12/2015,Opérationnel,Prestataire de Ressources Humaines,440949774.0,Fonds de placement et entités financières similaires,,Metz,16.0,190.0,,68.0,,21.00,,,,,,,,,,,,,,,,,233.0
92,Entreprise,,DPD FRANCE,1/1/2014,7/1/2015,Opérationnel,Transport de colis,444420830.0,Transports routiers de fret de proximité,,PARIS,,62521.0,,,,598.00,,68.00,,,,,,,,,,,,,,,845.0
95,Etablissement public,,Centre Hospitalier de Jonzac,1/1/2014,9/5/2017,Opérationnel,Centre hospitalier,261700272.0,Activités hospitalières,,Jonzac,91.39,142.17,0.0,259.1,0.0,196.40,874.18,214.48,2955.90,778.47,97.87,127.79,29.84,0.00,0.00,1321.81,0.00,0.00,0.00,0.00,0.0,965.43,4.26
96,Entreprise,,Socomec SAS,1/1/2014,1/3/2017,Opérationnel,"Conception, fabrication et commercialisation de composants et d'équipements électriques et électroniques pour le contrôle, la sécurité et la disponibilité des réseaux électriques basse tension.",548500149.0,Fabrication de matériel de distribution et de commande électrique,,BENFELD,1796.0,1062.0,0.0,105.0,0.0,oui,oui,oui,0.00,0.00,,,,,,,,,,,,0.0,0.0
97,Collectivité territoriale (dont EPCI),Départements,Département de la Charente-Maritime,1/1/2011,8/4/2015,,,,,Nouvelle-Aquitaine,,6244.0,12789.0,0.0,436.0,0.0,912.00,227.00,,,,,,,,,,,,,,,,69400.0
99,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Bourg-en-Bresse Agglomération,1/1/2012,8/12/2015,,,,,Auvergne-Rhône-Alpes,,175.0,2112.0,0.0,0.0,0.0,192.00,481.00,1242.00,407.00,3230.00,7954.00,290.00,6.00,0.00,0.00,0.00,1216.00,0.00,0.00,0.00,0.0,274.0,0.0
106,Entreprise,,Esterra,1/1/2011,9/8/2017,Opérationnel,"Collecte des ordures ménagères, des encombrants et des déchets d'entreprises, d'établissement publics et de déchèteries. _x000D_
Exploitation de déchetteries (Haut de Quai), hyrdrocurage et nettoyage _x000D_
Collecte de déchet diffus spécifiques (DDS) et de déchets d'activité de soin à risque infectieux (DASRI)_x000D_
Collecte de repasse (Corbeilles_x000D_
Propreté Urbaine de voire_x000D_
Mise à disposition d'équipements associés à ces activités_x000D_
",455501452.0,Collecte des déchets non dangereux,,Lezennes,289.0,10160.0,32.0,,,oui,,oui,oui,oui,oui,oui,,,,,,oui,,,,2183.0,0.0
108,Entreprise,,Longchamp SAS,1/1/2014,9/9/2015,Opérationnel,Fabrication de sacs et de petites maroquineries en cuir,737050187.0,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",,SegrÃ©,1768.0,26532.0,0.0,0.0,0.0,6196.00,0.00,4539.00,15529.00,6154.00,2704.00,,4.00,,,,,,459.00,,,,
110,Entreprise,,Longchamp SAS,1/1/2013,9/9/2015,Opérationnel,Fabrication de sacs et maroquinerie en cuir,737050187.0,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",,SEGRE,2212.0,24625.0,,,,8112.00,0.00,4341.00,19762.00,7164.00,3154.00,,,,,,,,372.00,,,,
111,Entreprise,,Longchamp SAS,1/1/2012,9/9/2015,Opérationnel,Fabrication de sacs et maroquinerie en cuir,737050187.0,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",,SEGRE,1779.0,26757.0,,,,8291.00,,4711.00,18959.00,8736.00,3044.00,,,,,,,,354.00,,,,
112,Etablissement public,,Parlement européen,1/1/2014,12/17/2015,Opérationnel,"Le Parlement européen (PE), institution parlementaire de l'Union européenne, est élu tous les cinq ans au suffrage direct par les citoyens de l'Union. Il se réunit douze fois par an à Strasbourg (France); certaines séances plénières, ainsi que la plupart des réunions des commissions parlementaires, ont lieu à Bruxelles (Belgique). Son secrétariat est partagé entre Luxembourg, Bruxelles et Strasbourg. Le Parlement européen est l'une des trois institutions principales de l'Union européenne.",325645711.0,Activités des organisations et organismes extraterritoriaux,,Strasbourg,461.0,152.0,0.0,1335.0,,2049.00,0.00,724.00,675.00,5094.00,101.00,73.00,2881.00,0.00,,8154.00,0.00,0.00,0.00,0.00,0.0,180.0,0.0
113,Entreprise,,RIO TINTO - ALUMINIUM DUNKERQUE,1/1/2014,11/2/2015,Opérationnel,Production d'aluminium primaire,321970782.0,Métallurgie de l'aluminium,,LOON PLAGE,40592.0,,465244.0,,,,,,,,,,,,,,,,,,,,
114,Entreprise,,Caisse d'Epargne Aquitaine Poitou Charentes,1/1/2014,9/21/2015,Opérationnel,"La Caisse d'Epargne Aquitaine Poitou-Charentes est une des 17 Caisses d'Epargne du Groupe BPCE. Elle a pour objet toutes opérations de banque, de services d'investissement et d'intermédiation d'assurance effectuées avec ses sociétaires et avec les tiers. Elle peut également effectuer toutes opérations connexes aux opérations de banque et de services d'investissement, exercer l'activité d'intermédiaire ou d'entremise dans le domaine immobilier, prendre toutes participations et, généralement, effe",353821028.0,Autres intermédiations monétaires,,Bordeaux,274.0,720.0,,235.0,,789.00,,542.00,9909.00,4048.00,26.00,2769.00,620.00,,,,2748.00,,,,,,5792.0
119,Entreprise,,MERCK SANTE SAS,1/1/2014,12/23/2015,Opérationnel,Laboratoire pharmaceutique ,572028033.0,Activités des sièges sociaux,,Lyon,7782.6,10.2,,36.94,,oui,,,,,,,,,,,,,,,,,
123,Entreprise,,NORAUTO FRANCE,1/1/2014,11/10/2015,Opérationnel,Centres autos: entretiens et équipements automobiles ,480470152.0,Commerce de détail d'équipements automobiles,,Sainghin en MÃ©lantois,1845.0,434.0,0.0,268.0,0.0,2164.00,,1175.00,3544.00,9777.00,821.00,19402.00,362.00,,,15576.00,3212.00,78147.00,134.00,,,11148.0,
